filename, language, JavaScript, XML, GLSL, CSS, comment, blank, total
CameraSystem.js, JavaScript, 151, 0, 0, 0, 2, 20, 173
InfoPanel.js, JavaScript, 35, 0, 0, 0, 0, 5, 40
PhotoPreview/clip-fragmentShader.glsl, GLSL, 0, 0, 4, 0, 0, 2, 6
PhotoPreview/clip-vertexShader.glsl, GLSL, 0, 0, 7, 0, 0, 4, 11
PhotoPreview/index.js, JavaScript, 424, 0, 0, 0, 10, 34, 468
PhotoPreview/photo-fragmentShader.glsl, GLSL, 0, 0, 39, 0, 1, 7, 47
PhotoPreview/photo-vertexShader.glsl, GLSL, 0, 0, 5, 0, 0, 1, 6
PostProcessing/fragmentShader.glsl, GLSL, 0, 0, 61, 0, 1, 16, 78
PostProcessing/index.js, JavaScript, 139, 0, 0, 0, 0, 9, 148
PostProcessing/vertexShader.glsl, GLSL, 0, 0, 5, 0, 0, 2, 7
SinglePage.js, JavaScript, 330, 0, 0, 0, 1, 45, 376
assets/acronym-logo.svg, XML, 0, 23, 0, 0, 1, 1, 25
assets/arrow-left.svg, XML, 0, 1, 0, 0, 0, 0, 1
assets/arrow-right.svg, XML, 0, 1, 0, 0, 0, 0, 1
constants.js, JavaScript, 36, 0, 0, 0, 0, 12, 48
event-emitter.js, JavaScript, 4, 0, 0, 0, 0, 4, 8
helpers.js, JavaScript, 15, 0, 0, 0, 0, 4, 19
index.js, JavaScript, 317, 0, 0, 0, 0, 61, 378
style/general.css, CSS, 0, 0, 0, 28, 1, 6, 35
style/header.css, CSS, 0, 0, 0, 69, 1, 8, 78
style/index.css, CSS, 0, 0, 0, 4, 0, 1, 5
style/single-page.css, CSS, 0, 0, 0, 126, 0, 19, 145
style/slider.css, CSS, 0, 0, 0, 67, 1, 2, 70
Total, -, 1451, 25, 121, 294, 19, 263, 2173
